id,url,text,createdAt,author.profilePicture,retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount,source,lang,isReply,isQuote,isPinned,date,year_month,hour,text_clean,text_lemma,n_tokens_clean,n_tokens_lemma
1875180326932324440,https://x.com/NEWSMAX/status/1875180326932324440,"The Federal Aviation Administration's tougher oversight of Boeing will continue indefinitely, the agency's outgoing head said Friday.  https://t.co/JqIooCbYlA",2025-01-03 14:00:03+00:00,https://pbs.twimg.com/profile_images/1394735604269817857/AXKKo6XT_normal.jpg,10,8,55,0,28844,1,,en,False,False,False,2025-01-03,2025-01,14,the federal aviation administration's tougher oversight of boeing will continue indefinitely the agency's outgoing head said friday,the federal aviation administration 's tough oversight of boeing will continue indefinitely the agency 's outgoing head say friday,17,19
1881126875164025171,https://x.com/ConserLibrarian/status/1881126875164025171,"Biden’s Aviation Legacy: Infrastructure Funding, FAA Oversight, and Boeing Scrutiny https://t.co/NutlVgn2aQ",2025-01-19 23:49:31+00:00,https://pbs.twimg.com/profile_images/1518736700364759040/w_GQO3vN_normal.jpg,0,0,0,0,15,0,,en,False,False,False,2025-01-19,2025-01,23,biden's aviation legacy infrastructure funding faa oversight and boeing scrutiny,biden 's aviation legacy infrastructure funding faa oversight and boeing scrutiny,10,11
1881190421268996475,https://x.com/RandyRazor1972/status/1881190421268996475,"Biden’s Aviation Legacy: Infrastructure Funding, FAA Oversight, and Boeing Scrutiny https://t.co/csdWBTGtjb",2025-01-20 04:02:01+00:00,https://pbs.twimg.com/profile_images/1951860679679332353/Aw5uAl5E_normal.jpg,0,0,0,0,37,0,,en,False,False,False,2025-01-20,2025-01,4,biden's aviation legacy infrastructure funding faa oversight and boeing scrutiny,biden 's aviation legacy infrastructure funding faa oversight and boeing scrutiny,10,11
1882545214700564876,https://x.com/FAANews/status/1882545214700564876,"Ever wonder why trucks spray steaming liquid on planes before takeoff in winter? Deicing removes ice, snow or frost that can affect a plane’s performance. While it may cause delays, it’s essential for safety. Get real-time updates: https://t.co/smgdqJN3td. #FAAOnTheGround https://t.co/4Qw7YdxuFD",2025-01-23 21:45:29+00:00,https://pbs.twimg.com/profile_images/775690421309739009/004I2jDO_normal.jpg,13,1,38,0,10766,2,,en,False,False,False,2025-01-23,2025-01,21,ever wonder why trucks spray steaming liquid on planes before takeoff in winter deicing removes ice snow or frost that can affect a plane's performance while it may cause delays it's essential for safety get real time updates faaontheground,ever wonder why truck spray steam liquid on plane before takeoff in winter deicing remove ice snow or frost that can affect a plane 's performance while it may cause delay it be essential for safety get real time update faaontheground,39,41
1885086018115649826,https://x.com/jacksmith023/status/1885086018115649826,"“The next administrator needs to be ready day one to continue the job of restoring the FAA’s safety culture and providing real oversight of the aviation sector,” Sen. Maria Cantwell (D-Wash.) 

It appears they were not ready on day one. https://t.co/PW9WbL6F9D",2025-01-30 22:01:44+00:00,https://pbs.twimg.com/profile_images/622610790042968065/P7S90JRn_normal.jpg,0,0,0,0,161,0,,en,False,False,False,2025-01-30,2025-01,22,the next administrator needs to be ready day one to continue the job of restoring the faa's safety culture and providing real oversight of the aviation sector sen maria cantwell d wash it appears they were not ready on day one,the next administrator need to be ready day one to continue the job of restore the faa 's safety culture and provide real oversight of the aviation sector sen maria cantwell d wash it appear they be not ready on day one,41,42
1885698465482604612,https://x.com/TechWzrd/status/1885698465482604612,".@Smerconish - @BillAckman Spoke w/ ex-Blackhawk pilot now at major airline. He attributes DC crash to series of errors: inadequate tower info, staffing, NVG use, and FAA delays on safety. Urges focus on merit over quotas in aviation. Let's make this tragedy a catalyst for change.",2025-02-01 14:35:23+00:00,https://pbs.twimg.com/profile_images/1867602425575538688/AgZxnpGk_normal.jpg,0,0,2,0,79,0,,en,False,False,False,2025-02-01,2025-02,14,spoke w ex blackhawk pilot now at major airline he attributes dc crash to series of errors inadequate tower info staffing nvg use and faa delays on safety urges focus on merit over quotas in aviation let's make this tragedy a catalyst for change,speak w ex blackhawk pilot now at major airline he attribute dc crash to series of error inadequate tower info staff nvg use and faa delay on safety urge focus on merit over quota in aviation let us make this tragedy a catalyst for change,44,45
1885710229444366456,https://x.com/dstaynar/status/1885710229444366456,"@super_ultraMAGA @LeadingReport 1.  You can't be deaf or blind and control air traffic.
2. You can't be stupid and control air traffic.
Who wrote that legislation?",2025-02-01 15:22:08+00:00,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,0,1,0,22,0,,en,True,False,False,2025-02-01,2025-02,15,1 you can't be deaf or blind and control air traffic 2 you can't be stupid and control air traffic who wrote that legislation,1 you can not be deaf or blind and control air traffic 2 you can not be stupid and control air traffic who write that legislation,24,26
1885915237226074309,https://x.com/Raw_Reporting/status/1885915237226074309,"The NOTAM system, which provides flight safety updates, is currently experiencing an outage. However, a backup system is operational, and no immediate disruptions to air travel have been reported. The FAA is investigating and expects residual delays tomorrow.",2025-02-02 04:56:45+00:00,https://pbs.twimg.com/profile_images/1705330152354582528/qFnV4QGJ_normal.jpg,8,0,11,1,1842,3,,en,False,True,False,2025-02-02,2025-02,4,the notam system which provides flight safety updates is currently experiencing an outage however a backup system is operational and no immediate disruptions to air travel have been reported the faa is investigating and expects residual delays tomorrow,the notam system which provide flight safety update be currently experience an outage however a backup system be operational and no immediate disruption to air travel have be report the faa be investigate and expect residual delay tomorrow,38,38
1886056839583846892,https://x.com/MarioNawfal/status/1886056839583846892,"🚨🇺🇸CRITICAL FAA SAFETY SYSTEM FAILS NATIONWIDE—FLIGHT DELAYS EXPECTED

The FAA’s NOTAM warning system suffered a nationwide outage, threatening flight delays across the US just days after 2 deadly plane crashes.

Transportation Secretary Sean Duffy says a backup system is in place, but warns of “residual delays” as the FAA works to restore full functionality.

Nearly 500 flights delayed and over 60 cancellations reported so far, raising fresh concerns over aviation safety and system reliability.

Source: NY Post",2025-02-02 14:19:26+00:00,https://pbs.twimg.com/profile_images/1938244629071015936/UwtzYY-R_normal.jpg,505,212,1667,64,326065,180,,en,False,False,False,2025-02-02,2025-02,14,critical faa safety system fails nationwide flight delays expected the faa's notam warning system suffered a nationwide outage threatening flight delays across the us just days after 2 deadly plane crashes transportation secretary sean duffy says a backup system is in place but warns of residual delays as the faa works to restore full functionality nearly 500 flights delayed and over 60 cancellations reported so far raising fresh concerns over aviation safety and system reliability source ny post,critical faa safety system fail nationwide flight delay expect the faa 's notam warning system suffer a nationwide outage threaten flight delay across the us just day after 2 deadly plane crash transportation secretary sean duffy say a backup system be in place but warn of residual delay as the faa work to restore full functionality nearly 500 flight delay and over 60 cancellation report so far raise fresh concern over aviation safety and system reliability source ny post,78,79
1886057908619624946,https://x.com/OilHeadlineNews/status/1886057908619624946,CRITICAL FAA SAFETY SYSTEM FAILS NATIONWIDE—FLIGHT DELAYS EXPECTED - NYPOST,2025-02-02 14:23:41+00:00,https://pbs.twimg.com/profile_images/1650934523226365984/uuF_8MEv_normal.jpg,2,2,22,0,3517,2,,en,False,False,False,2025-02-02,2025-02,14,critical faa safety system fails nationwide flight delays expected nypost,critical faa safety system fail nationwide flight delay expect nypost,10,10
